index,link,title,description,positive,negative,neutral,compound,Month
15,https://wellstonjournal.com/kim-jong-uns-brother-assassinated-at-malaysian-airport-reviews-declare-2.html,"Kim Jong Un´s brother assassinated at Malaysian airport, reviews ...",3 hours ago · Kim Jong Un´s brother dies after attack at Malaysian airport. The older brother of North Korean leader Kim Jong Un has died after being attacked at Kuala...,0.0,0.0,1.0,0.0,December
16,https://www.wionews.com/world/north-korea-comments-hostile-and-unnecessary-us-envoy-stephen-biegun-268473,North Korea comments 'hostile and unnecessary': US envoy ...,3 hours ago · In Pictures: China provides top security to North Korean leader Kim Jong-un ... with their leaders Donald Trump and Kim Jong Un trading mutual insults and...,0.0,0.245,0.755,-0.3818,December
17,https://www.dailynk.com/english/prominent-north-korean-military-university-faces-power-shortages/,Prominent N. Korean military university faces power shortages ...,"3 hours ago · According to Daily NK sources on Friday, electricity issues at the Kim Jong Un National Defense University this winter are worse than they have ever been.",0.211,0.147,0.642,0.1779,December
18,https://wellstonjournal.com/kim-jong-nam-the-little-general-who-fell-from-grace.html,"Kim Jong-Nam, the 'Little General' who fell from grace",4 hours ago · They used to call him the “Little General” but Kim Jong-Nam — once heir-apparent to his father and North Korea's then-leader Kim Jong-Il — fell from grace in...,0.259,0.0,0.741,0.4215,December
19,https://wellstonjournal.com/kim-jong-uns-brother-assassinated-amid-fears-of-north-korea-energy-battle.html,Kim Jong-un's brother 'assassinated' amid fears of North Korea ...,"5 hours ago · South Korea's Yonhap News reported that Kim Jong-nam, the leader's half brother, had been assassinated in Malaysia. Cable broadcaster TV Chosun said that...",0.0,0.237,0.763,-0.4215,December
20,https://wellstonjournal.com/north-korean-chiefs-half-brother-kim-jong-nam-killed-in-malaysia-sources.html,North Korean chief's half-brother Kim Jong-nam 'killed in Malaysia' – sources,"5 hours ago · The half-brother of North Korean leader Kim Jong-un has been killed in Malaysia, South Korean and Malaysian sources say. Kim Jong-nam, 45, is said to have...",0.0,0.333,0.667,-0.6705,December
21,https://www.washingtontimes.com/news/2019/dec/15/stephen-biegun-says-us-wont-accept-kim-jong-un-nuk/,'Let's get this done': Envoy in South Korea says U.S. won't accept ...,6 hours ago · ... Envoy in South Korea says U.S. won't accept Kim Jong Un's nuke deadline .... North Korea's military chief Pak Jong Chon asserted Saturday that the North...,0.0,0.154,0.846,-0.2924,December
22,https://www.bbc.com/news/world-asia-50804568,US tells North Korea: 'Let's get this done',7 hours ago · North Korean leader Kim Jong-un and his US counterpart Mr Trump held historic talks in Singapore in June 2018 and in Vietnam earlier this year aimed at...,0.0,0.0,1.0,0.0,December
23,https://www.aljazeera.com/news/2019/12/north-korea-reach-191216024451642.html,"US to North Korea: 'We're here, you know how to reach us'","7 hours ago · The United States special envoy for North Korea, Stephen Biegun, urged Pyongyang on Monday to return offers of talks, dismissing leader Kim Jong Un's...",0.091,0.0,0.909,0.0258,December
24,http://www.israelnationalnews.com/News/News.aspx/273200,US envoy calls on North Korea to resume talks,"7 hours ago · Trump and North Korean leader Kim Jong Un engaged in months of mutual insults and threats of devastation in 2017, sending tensions soaring before a...",0.0,0.0,1.0,0.0,December
25,https://stockdailydish.com/revealed-kim-jong-un-will-launch-his-next-missile-on-this-date/,Revealed: Kim Jong-un will launch his next missile on THIS date,"7 hours ago · after the tubby tyrant threatened to reduce the “US to ash”. This was in response to US and South Korean forces holding military drills in the peninsula, practicing...",0.0,0.0,1.0,0.0,December
26,https://dentondaily.com/donald-trump-says-received-great-letter-from-n-koreas-kim-jong-un/,Donald Trump says received 'great' letter from N Korea's Kim-Jong un,"7 hours ago · span.p-content div[id^=”div-gpt”]{line-height:0;font-size:0}. US said Wednesday he had received a ""great letter"" from Un, after the North Korean leader warned...",0.0,0.0,1.0,0.0,December
27,https://en.yna.co.kr/view/AEN20191216001951325,(LEAD) N. Korean newspaper touts late leader on eve of 8th ...,8 hours ago · 16 (Yonhap) -- North Korea's main newspaper on Monday published a series of articles lauding late leader Kim Jong-il on the eve of the eighth anniversary of...,0.0,0.091,0.909,-0.0258,December
28,https://www.channelnewsasia.com/news/asia/north-korea-comments-hostile-unnecessary-12186566,North Korea comments 'hostile and unnecessary': UN envoy,8 hours ago · North Korea comments 'hostile and unnecessary': UN envoy ... Trump meets with North Korean leader Kim Jong Un at the DMZ on the border of North and South...,0.0,0.271,0.729,-0.3818,December
29,https://www.cnbc.com/2019/12/16/us-envoy-calls-on-north-korea-to-respond-to-calls-for-talks.html,US envoy calls on North Korea to respond to calls for talks,"8 hours ago · U.S. special envoy for North Korea, Stephen Biegun, urged Pyongyang on Monday to return offers of talks, dismissing leader Kim Jong Un's year-end deadline...",0.0,0.0,1.0,0.0,December
30,https://stockdailydish.com/kim-jong-un-threatens-a-strike-without-warning/,Kim Jong-un threatens a 'strike without warning',9 hours ago · Kim Jong-un threatens a 'strike without warning' against South Korean and US troops conducting a joint training drill. North Korea has threatened to attack US...,0.223,0.449,0.328,-0.2649,December
